freq_Hz,sum_dB,woofer_dB,mid_dB,tweeter_dB,baffle_step_dB,wg_loading_dB
27.13,78.2813,78.2638,24.3438,-93.8197,-5.9314,0.0000
27.22,78.3142,78.2965,24.4660,-93.6979,-5.9307,0.0000
27.32,78.3469,78.3291,24.5882,-93.5762,-5.9301,0.0000
27.41,78.3794,78.3614,24.7104,-93.4545,-5.9295,0.0000
27.51,78.4117,78.3935,24.8326,-93.3328,-5.9289,0.0000
27.61,78.4438,78.4254,24.9548,-93.2111,-5.9282,0.0000
27.70,78.4757,78.4571,25.0770,-93.0894,-5.9276,0.0000
27.80,78.5073,78.4885,25.1993,-92.9676,-5.9269,0.0000
27.90,78.5388,78.5198,25.3215,-92.8459,-5.9263,0.0000
28.00,78.5700,78.5508,25.4437,-92.7242,-5.9256,0.0000
28.09,78.6011,78.5817,25.5659,-92.6025,-5.9250,0.0000
28.19,78.6319,78.6123,25.6882,-92.4808,-5.9243,0.0000
28.29,78.6625,78.6427,25.8104,-92.3591,-5.9237,0.0000
28.39,78.6929,78.6729,25.9326,-92.2373,-5.9230,0.0000
28.49,78.7232,78.7029,26.0548,-92.1156,-5.9223,0.0000
28.59,78.7532,78.7327,26.1771,-91.9939,-5.9216,0.0000
28.69,78.7830,78.7623,26.2993,-91.8722,-5.9210,0.0000
28.79,78.8125,78.7917,26.4216,-91.7505,-5.9203,0.0000
28.89,78.8419,78.8208,26.5438,-91.6288,-5.9196,0.0000
28.99,78.8711,78.8498,26.6660,-91.5070,-5.9189,0.0000
29.10,78.9001,78.8785,26.7883,-91.3853,-5.9182,0.0000
29.20,78.9288,78.9070,26.9105,-91.2636,-5.9175,0.0000
29.30,78.9574,78.9353,27.0328,-91.1419,-5.9168,0.0000
29.40,78.9857,78.9634,27.1550,-91.0202,-5.9161,0.0000
29.51,79.0139,78.9913,27.2773,-90.8985,-5.9153,0.0000
29.61,79.0418,79.0190,27.3996,-90.7767,-5.9146,0.0000
29.71,79.0695,79.0465,27.5218,-90.6550,-5.9139,0.0000
29.82,79.0971,79.0738,27.6441,-90.5333,-5.9131,0.0000
29.92,79.1244,79.1009,27.7663,-90.4116,-5.9124,0.0000
30.03,79.1515,79.1277,27.8886,-90.2899,-5.9117,0.0000
30.13,79.1784,79.1544,28.0109,-90.1682,-5.9109,0.0000
30.24,79.2051,79.1808,28.1332,-90.0465,-5.9102,0.0000
30.34,79.2316,79.2070,28.2554,-89.9247,-5.9094,0.0000
30.45,79.2579,79.2331,28.3777,-89.8030,-5.9086,0.0000
30.56,79.2840,79.2589,28.5000,-89.6813,-5.9079,0.0000
30.67,79.3100,79.2845,28.6223,-89.5596,-5.9071,0.0000
30.77,79.3357,79.3100,28.7446,-89.4379,-5.9063,0.0000
30.88,79.3612,79.3352,28.8668,-89.3162,-5.9055,0.0000
30.99,79.3865,79.3602,28.9891,-89.1944,-5.9047,0.0000
31.10,79.4116,79.3850,29.1114,-89.0727,-5.9039,0.0000
31.21,79.4365,79.4096,29.2337,-88.9510,-5.9031,0.0000
31.32,79.4612,79.4340,29.3560,-88.8293,-5.9023,0.0000
31.43,79.4857,79.4582,29.4783,-88.7076,-5.9015,0.0000
31.54,79.5100,79.4822,29.6006,-88.5859,-5.9007,0.0000
31.65,79.5342,79.5061,29.7229,-88.4641,-5.8999,0.0000
31.76,79.5581,79.5297,29.8452,-88.3424,-5.8990,0.0000
31.87,79.5818,79.5531,29.9675,-88.2207,-5.8982,0.0000
31.98,79.6054,79.5763,30.0898,-88.0990,-5.8974,0.0000
32.09,79.6287,79.5993,30.2121,-87.9773,-5.8965,0.0000
32.21,79.6519,79.6221,30.3344,-87.8556,-5.8957,0.0000
32.32,79.6749,79.6448,30.4568,-87.7338,-5.8948,0.0000
32.43,79.6976,79.6672,30.5791,-87.6121,-5.8939,0.0000
32.55,79.7202,79.6894,30.7014,-87.4904,-5.8931,0.0000
32.66,79.7426,79.7115,30.8237,-87.3687,-5.8922,0.0000
32.78,79.7649,79.7333,30.9460,-87.2470,-5.8913,0.0000
32.89,79.7869,79.7550,31.0684,-87.1253,-5.8904,0.0000
33.01,79.8087,79.7765,31.1907,-87.0035,-5.8895,0.0000
33.12,79.8304,79.7978,31.3130,-86.8818,-5.8886,0.0000
33.24,79.8519,79.8188,31.4353,-86.7601,-5.8877,0.0000
33.36,79.8732,79.8398,31.5577,-86.6384,-5.8868,0.0000
33.47,79.8943,79.8605,31.6800,-86.5167,-5.8859,0.0000
33.59,79.9152,79.8810,31.8023,-86.3950,-5.8850,0.0000
33.71,79.9360,79.9014,31.9247,-86.2732,-5.8841,0.0000
33.83,79.9565,79.9215,32.0470,-86.1515,-5.8831,0.0000
33.94,79.9769,79.9415,32.1694,-86.0298,-5.8822,0.0000
34.06,79.9971,79.9613,32.2917,-85.9081,-5.8812,0.0000
34.18,80.0172,79.9809,32.4140,-85.7864,-5.8803,0.0000
34.30,80.0370,80.0003,32.5364,-85.6647,-5.8793,0.0000
34.42,80.0567,80.0196,32.6587,-85.5429,-5.8784,0.0000
34.54,80.0763,80.0387,32.7811,-85.4212,-5.8774,0.0000
34.67,80.0956,80.0576,32.9034,-85.2995,-5.8764,0.0000
34.79,80.1148,80.0763,33.0258,-85.1778,-5.8754,0.0000
34.91,80.1338,80.0948,33.1482,-85.0561,-5.8744,0.0000
35.03,80.1526,80.1132,33.2705,-84.9344,-5.8734,0.0000
35.15,80.1713,80.1314,33.3929,-84.8126,-5.8724,0.0000
35.28,80.1898,80.1494,33.5152,-84.6909,-5.8714,0.0000
35.40,80.2081,80.1673,33.6376,-84.5692,-5.8704,0.0000
35.53,80.2263,80.1850,33.7600,-84.4475,-5.8694,0.0000
35.65,80.2443,80.2025,33.8823,-84.3258,-5.8683,0.0000
35.78,80.2622,80.2198,34.0047,-84.2041,-5.8673,0.0000
35.90,80.2799,80.2370,34.1271,-84.0824,-5.8662,0.0000
36.03,80.2974,80.2540,34.2494,-83.9606,-5.8652,0.0000
36.15,80.3148,80.2708,34.3718,-83.8389,-5.8641,0.0000
36.28,80.3320,80.2875,34.4942,-83.7172,-5.8631,0.0000
36.41,80.3490,80.3040,34.6165,-83.5955,-5.8620,0.0000
36.54,80.3659,80.3204,34.7389,-83.4738,-5.8609,0.0000
36.66,80.3827,80.3366,34.8613,-83.3521,-5.8598,0.0000
36.79,80.3993,80.3526,34.9837,-83.2303,-5.8587,0.0000
36.92,80.4157,80.3685,35.1060,-83.1086,-5.8576,0.0000
37.05,80.4320,80.3842,35.2284,-82.9869,-5.8565,0.0000
37.18,80.4482,80.3997,35.3508,-82.8652,-5.8554,0.0000
37.31,80.4642,80.4151,35.4732,-82.7435,-5.8543,0.0000
37.44,80.4800,80.4304,35.5956,-82.6218,-5.8531,0.0000
37.57,80.4957,80.4455,35.7179,-82.5000,-5.8520,0.0000
37.71,80.5113,80.4604,35.8403,-82.3783,-5.8509,0.0000
37.84,80.5267,80.4752,35.9627,-82.2566,-5.8497,0.0000
37.97,80.5420,80.4898,36.0851,-82.1349,-5.8485,0.0000
38.10,80.5571,80.5043,36.2075,-82.0132,-5.8474,0.0000
38.24,80.5721,80.5186,36.3299,-81.8915,-5.8462,0.0000
38.37,80.5870,80.5328,36.4522,-81.7697,-5.8450,0.0000
38.51,80.6017,80.5469,36.5746,-81.6480,-5.8438,0.0000
38.64,80.6163,80.5608,36.6970,-81.5263,-5.8426,0.0000
38.78,80.6307,80.5745,36.8194,-81.4046,-5.8414,0.0000
38.91,80.6450,80.5881,36.9418,-81.2829,-5.8402,0.0000
39.05,80.6592,80.6016,37.0642,-81.1612,-5.8390,0.0000
39.19,80.6733,80.6149,37.1866,-81.0394,-5.8377,0.0000
39.33,80.6872,80.6281,37.3090,-80.9177,-5.8365,0.0000
39.46,80.7010,80.6412,37.4313,-80.7960,-5.8352,0.0000
39.60,80.7147,80.6541,37.5537,-80.6743,-5.8340,0.0000
39.74,80.7282,80.6669,37.6761,-80.5526,-5.8327,0.0000
39.88,80.7416,80.6795,37.7985,-80.4309,-5.8314,0.0000
40.02,80.7549,80.6920,37.9209,-80.3091,-5.8302,0.0000
40.16,80.7681,80.7044,38.0433,-80.1874,-5.8289,0.0000
40.30,80.7812,80.7166,38.1657,-80.0657,-5.8276,0.0000
40.44,80.7941,80.7288,38.2881,-79.9440,-5.8263,0.0000
40.58,80.8069,80.7407,38.4105,-79.8223,-5.8249,0.0000
40.73,80.8196,80.7526,38.5328,-79.7006,-5.8236,0.0000
40.87,80.8322,80.7643,38.6552,-79.5788,-5.8223,0.0000
41.01,80.8446,80.7759,38.7776,-79.4571,-5.8210,0.0000
41.16,80.8570,80.7874,38.9000,-79.3354,-5.8196,0.0000
41.30,80.8692,80.7987,39.0224,-79.2137,-5.8182,0.0000
41.45,80.8814,80.8100,39.1448,-79.0920,-5.8169,0.0000
41.59,80.8934,80.8211,39.2672,-78.9703,-5.8155,0.0000
41.74,80.9053,80.8320,39.3895,-78.8486,-5.8141,0.0000
41.88,80.9171,80.8429,39.5119,-78.7268,-5.8127,0.0000
42.03,80.9288,80.8536,39.6343,-78.6051,-5.8113,0.0000
42.18,80.9404,80.8643,39.7567,-78.4834,-5.8099,0.0000
42.33,80.9519,80.8748,39.8790,-78.3617,-5.8085,0.0000
42.48,80.9632,80.8851,40.0014,-78.2400,-5.8070,0.0000
42.63,80.9745,80.8954,40.1238,-78.1183,-5.8056,0.0000
42.77,80.9857,80.9056,40.2462,-77.9965,-5.8042,0.0000
42.92,80.9968,80.9156,40.3685,-77.8748,-5.8027,0.0000
43.08,81.0078,80.9255,40.4909,-77.7531,-5.8012,0.0000
43.23,81.0187,80.9354,40.6133,-77.6314,-5.7998,0.0000
43.38,81.0295,80.9451,40.7356,-77.5097,-5.7983,0.0000
43.53,81.0401,80.9547,40.8580,-77.3880,-5.7968,0.0000
43.68,81.0507,80.9642,40.9804,-77.2662,-5.7953,0.0000
43.84,81.0613,80.9735,41.1027,-77.1445,-5.7937,0.0000
43.99,81.0717,80.9828,41.2251,-77.0228,-5.7922,0.0000
44.14,81.0820,80.9920,41.3474,-76.9011,-5.7907,0.0000
44.30,81.0922,81.0011,41.4698,-76.7794,-5.7891,0.0000
44.46,81.1024,81.0100,41.5921,-76.6577,-5.7876,0.0000
44.61,81.1125,81.0189,41.7145,-76.5359,-5.7860,0.0000
44.77,81.1224,81.0276,41.8368,-76.4142,-5.7844,0.0000
44.92,81.1323,81.0363,41.9591,-76.2925,-5.7829,0.0000
45.08,81.1422,81.0448,42.0815,-76.1708,-5.7813,0.0000
45.24,81.1519,81.0533,42.2038,-76.0491,-5.7797,0.0000
45.40,81.1615,81.0616,42.3261,-75.9274,-5.7780,0.0000
45.56,81.1711,81.0699,42.4484,-75.8056,-5.7764,0.0000
45.72,81.1806,81.0781,42.5708,-75.6839,-5.7748,0.0000
