freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
446.403,0.2264,0.1939,0.0214,0.1045,0.1218,0.1659
450.542,0.2346,0.2016,0.0261,0.1107,0.1239,0.1731
454.719,0.2430,0.2095,0.0310,0.1170,0.1260,0.1805
458.935,0.2518,0.2176,0.0362,0.1236,0.1281,0.1882
463.190,0.2608,0.2261,0.0416,0.1305,0.1303,0.1962
467.485,0.2701,0.2349,0.0472,0.1377,0.1325,0.2044
471.819,0.2798,0.2439,0.0532,0.1451,0.1347,0.2130
476.194,0.2898,0.2533,0.0593,0.1529,0.1369,0.2219
480.609,0.3002,0.2631,0.0658,0.1609,0.1392,0.2311
485.065,0.3108,0.2731,0.0725,0.1693,0.1416,0.2406
489.562,0.3219,0.2835,0.0795,0.1779,0.1440,0.2505
494.101,0.3333,0.2943,0.0869,0.1869,0.1464,0.2607
498.682,0.3451,0.3054,0.0945,0.1963,0.1488,0.2713
503.305,0.3573,0.3170,0.1025,0.2060,0.1513,0.2823
507.972,0.3698,0.3289,0.1108,0.2160,0.1538,0.2936
512.681,0.3828,0.3412,0.1195,0.2264,0.1564,0.3053
517.435,0.3962,0.3539,0.1285,0.2373,0.1590,0.3175
522.232,0.4101,0.3670,0.1379,0.2485,0.1616,0.3300
527.074,0.4244,0.3806,0.1477,0.2601,0.1643,0.3430
531.961,0.4391,0.3947,0.1578,0.2721,0.1670,0.3565
536.893,0.4544,0.4092,0.1684,0.2846,0.1698,0.3703
541.871,0.4701,0.4241,0.1794,0.2975,0.1725,0.3847
546.895,0.4863,0.4396,0.1908,0.3109,0.1754,0.3995
551.965,0.5030,0.4555,0.2026,0.3248,0.1782,0.4148
557.083,0.5202,0.4720,0.2149,0.3391,0.1811,0.4306
562.248,0.5380,0.4889,0.2277,0.3539,0.1841,0.4469
567.461,0.5563,0.5064,0.2409,0.3692,0.1871,0.4637
572.722,0.5751,0.5245,0.2547,0.3850,0.1901,0.4811
578.032,0.5946,0.5431,0.2689,0.4014,0.1932,0.4990
583.391,0.6146,0.5623,0.2836,0.4183,0.1963,0.5175
588.800,0.6351,0.5820,0.2989,0.4357,0.1994,0.5366
594.259,0.6563,0.6024,0.3147,0.4538,0.2026,0.5562
599.769,0.6782,0.6233,0.3311,0.4724,0.2058,0.5765
605.330,0.7006,0.6449,0.3480,0.4915,0.2091,0.5973
610.942,0.7237,0.6671,0.3655,0.5113,0.2123,0.6188
616.606,0.7474,0.6899,0.3835,0.5317,0.2157,0.6409
622.323,0.7718,0.7134,0.4022,0.5528,0.2191,0.6637
628.093,0.7969,0.7376,0.4215,0.5744,0.2225,0.6871
633.916,0.8226,0.7624,0.4414,0.5967,0.2259,0.7111
639.794,0.8491,0.7879,0.4619,0.6197,0.2294,0.7359
645.726,0.8762,0.8141,0.4831,0.6433,0.2329,0.7613
651.712,0.9041,0.8410,0.5049,0.6676,0.2365,0.7875
657.755,0.9327,0.8687,0.5273,0.6926,0.2401,0.8143
663.853,0.9620,0.8970,0.5505,0.7183,0.2437,0.8418
670.008,0.9920,0.9261,0.5743,0.7447,0.2474,0.8701
676.220,1.0228,0.9559,0.5988,0.7717,0.2511,0.8991
682.490,1.0544,0.9864,0.6240,0.7996,0.2548,0.9288
688.817,1.0867,1.0177,0.6499,0.8281,0.2586,0.9593
695.204,1.1197,1.0498,0.6764,0.8573,0.2624,0.9905
701.649,1.1536,1.0826,0.7037,0.8873,0.2662,1.0225
708.155,1.1882,1.1161,0.7317,0.9180,0.2701,1.0552
714.720,1.2235,1.1504,0.7604,0.9495,0.2740,1.0887
721.347,1.2597,1.1855,0.7898,0.9817,0.2780,1.1229
728.035,1.2966,1.2214,0.8200,1.0146,0.2819,1.1579
734.785,1.3343,1.2580,0.8508,1.0483,0.2860,1.1936
741.598,1.3727,1.2954,0.8824,1.0827,0.2900,1.2302
748.473,1.4120,1.3335,0.9147,1.1179,0.2941,1.2674
755.413,1.4520,1.3724,0.9477,1.1538,0.2982,1.3054
762.417,1.4927,1.4120,0.9813,1.1904,0.3023,1.3442
769.485,1.5342,1.4524,1.0157,1.2277,0.3065,1.3837
776.620,1.5765,1.4935,1.0508,1.2658,0.3107,1.4239
783.820,1.6195,1.5354,1.0866,1.3045,0.3150,1.4649
791.087,1.6632,1.5780,1.1230,1.3440,0.3193,1.5065
798.422,1.7077,1.6213,1.1601,1.3841,0.3236,1.5489
805.824,1.7528,1.6652,1.1978,1.4249,0.3279,1.5919
813.296,1.7986,1.7099,1.2362,1.4664,0.3323,1.6357
820.836,1.8451,1.7552,1.2752,1.5085,0.3367,1.6801
828.446,1.8923,1.8012,1.3147,1.5512,0.3411,1.7251
836.127,1.9401,1.8478,1.3549,1.5945,0.3456,1.7708
843.880,1.9885,1.8950,1.3956,1.6384,0.3501,1.8170
851.704,2.0376,1.9428,1.4369,1.6829,0.3547,1.8639
859.600,2.0872,1.9911,1.4786,1.7279,0.3592,1.9113
867.570,2.1373,2.0401,1.5209,1.7735,0.3639,1.9592
875.614,2.1880,2.0895,1.5636,1.8195,0.3685,2.0077
883.732,2.2392,2.1394,1.6068,1.8660,0.3732,2.0566
891.926,2.2909,2.1898,1.6504,1.9130,0.3779,2.1060
900.195,2.3430,2.2406,1.6943,1.9603,0.3827,2.1559
908.541,2.3956,2.2919,1.7386,2.0080,0.3875,2.2061
916.965,2.4485,2.3435,1.7832,2.0561,0.3924,2.2567
925.466,2.5018,2.3954,1.8281,2.1045,0.3973,2.3077
934.047,2.5554,2.4477,1.8732,2.1532,0.4022,2.3589
942.707,2.6093,2.5002,1.9186,2.2021,0.4072,2.4105
951.447,2.6635,2.5530,1.9641,2.2512,0.4123,2.4622
960.269,2.7179,2.6061,2.0098,2.3005,0.4174,2.5142
969.172,2.7725,2.6592,2.0555,2.3499,0.4225,2.5663
978.157,2.8272,2.7126,2.1013,2.3995,0.4277,2.6186
987.226,2.8821,2.7660,2.1472,2.4491,0.4330,2.6710
996.380,2.9370,2.8195,2.1930,2.4987,0.4383,2.7234
1005.617,2.9920,2.8730,2.2388,2.5483,0.4437,2.7758
1014.941,3.0470,2.9265,2.2844,2.5979,0.4492,2.8283
1024.351,3.1020,2.9800,2.3299,2.6473,0.4547,2.8806
1033.848,3.1570,3.0334,2.3753,2.6967,0.4603,2.9329
1043.434,3.2118,3.0867,2.4204,2.7459,0.4659,2.9851
1053.108,3.2665,3.1398,2.4653,2.7948,0.4716,3.0371
1062.872,3.3210,3.1927,2.5098,2.8436,0.4774,3.0888
1072.726,3.3753,3.2455,2.5540,2.8920,0.4833,3.1404
1082.672,3.4294,3.2979,2.5979,2.9401,0.4893,3.1917
1092.710,3.4832,3.3501,2.6413,2.9879,0.4954,3.2426
1102.841,3.5367,3.4019,nan,nan,nan,nan
1113.066,3.5899,3.4538,nan,nan,nan,nan
1123.386,3.6427,3.5058,nan,nan,nan,nan
1133.801,3.6951,3.5580,nan,nan,nan,nan
1144.314,3.7471,3.6103,nan,nan,nan,nan
1154.923,3.7986,3.6627,nan,nan,nan,nan
1165.631,3.8496,3.7153,nan,nan,nan,nan
1176.438,3.9002,3.7679,nan,nan,nan,nan
1187.345,3.9501,3.8206,nan,nan,nan,nan
1198.354,3.9995,3.8733,nan,nan,nan,nan
1209.464,4.0484,3.9261,nan,nan,nan,nan
1220.678,4.0966,3.9789,nan,nan,nan,nan
1231.996,4.1442,4.0316,nan,nan,nan,nan
1243.418,4.1911,4.0843,nan,nan,nan,nan
1254.946,4.2374,4.1370,nan,nan,nan,nan
1266.582,4.2830,4.1895,nan,nan,nan,nan
1278.325,4.3279,4.2420,nan,nan,nan,nan
1290.177,4.3721,4.2943,nan,nan,nan,nan
1302.139,4.4156,4.3464,nan,nan,nan,nan
1314.212,4.4584,4.3984,nan,nan,nan,nan
1326.396,4.5004,4.4502,nan,nan,nan,nan
1338.694,4.5416,4.5017,nan,nan,nan,nan
1351.106,4.5821,4.5529,nan,nan,nan,nan
1363.632,4.6219,4.6039,nan,nan,nan,nan
1376.275,4.6609,4.6545,nan,nan,nan,nan
1389.036,4.6991,4.7049,nan,nan,nan,nan
1401.914,4.7365,4.7549,nan,nan,nan,nan
1414.912,4.7732,4.8046,nan,nan,nan,nan
1428.030,4.8090,4.8539,nan,nan,nan,nan
1441.270,4.8441,4.9028,nan,nan,nan,nan
1454.633,4.8785,4.9514,nan,nan,nan,nan
1468.120,4.9121,4.9997,nan,nan,nan,nan
1481.731,4.9449,5.0476,nan,nan,nan,nan
1495.469,4.9769,5.0951,nan,nan,nan,nan
1509.335,5.0082,5.1424,nan,nan,nan,nan
1523.328,5.0387,5.1893,nan,nan,nan,nan
1537.452,5.0685,5.2359,nan,nan,nan,nan
1551.706,5.0976,5.2823,nan,nan,nan,nan
1566.093,5.1260,5.3284,nan,nan,nan,nan
1580.613,5.1536,5.3744,nan,nan,nan,nan
1595.268,5.1805,5.4201,nan,nan,nan,nan
1610.058,5.2067,5.4657,nan,nan,nan,nan
1624.986,5.2322,5.5112,nan,nan,nan,nan
1640.052,5.2571,5.5565,nan,nan,nan,nan
1655.258,5.2812,5.6018,nan,nan,nan,nan
1670.605,5.3047,5.6469,nan,nan,nan,nan
1686.094,5.3276,5.6919,nan,nan,nan,nan
1701.726,5.3498,5.7367,nan,nan,nan,nan
1717.504,5.3714,5.7814,nan,nan,nan,nan
1733.428,5.3924,5.8257,nan,nan,nan,nan
1749.499,5.4128,5.8698,nan,nan,nan,nan
1765.720,5.4326,5.9133,nan,nan,nan,nan
1782.091,5.4519,5.9563,nan,nan,nan,nan
1798.613,5.4705,5.9984,nan,nan,nan,nan
1815.289,5.4886,6.0397,nan,nan,nan,nan
1832.120,5.5062,6.0797,nan,nan,nan,nan
1849.106,5.5233,6.1183,nan,nan,nan,nan
1866.250,5.5398,6.1551,nan,nan,nan,nan
1883.553,5.5558,6.1899,nan,nan,nan,nan
1901.017,5.5714,6.2223,nan,nan,nan,nan
1918.642,5.5865,6.2520,nan,nan,nan,nan
1936.431,5.6011,6.2784,nan,nan,nan,nan
1954.384,5.6152,6.3013,nan,nan,nan,nan
1972.504,5.6289,6.3201,nan,nan,nan,nan
1990.792,5.6422,6.3345,nan,nan,nan,nan
2009.250,5.6550,6.3445,nan,nan,nan,nan
2027.879,5.6675,6.3535,nan,nan,nan,nan
2046.680,5.6795,6.3618,nan,nan,nan,nan
2065.656,5.6912,6.3697,nan,nan,nan,nan
2084.808,5.7025,6.3770,nan,nan,nan,nan
2104.137,5.7134,6.3838,nan,nan,nan,nan
2123.646,5.7240,6.3902,nan,nan,nan,nan
2143.335,5.7342,6.3960,nan,nan,nan,nan
2163.207,5.7441,6.4013,nan,nan,nan,nan
2183.263,5.7536,6.4062,nan,nan,nan,nan
2203.506,5.7629,6.4106,nan,nan,nan,nan
2223.935,5.7718,6.4146,nan,nan,nan,nan
2244.555,5.7805,6.4181,nan,nan,nan,nan
2265.365,5.7888,6.4212,nan,nan,nan,nan
2286.369,5.7969,6.4238,nan,nan,nan,nan
2307.567,5.8047,6.4260,nan,nan,nan,nan
2328.961,5.8122,6.4279,nan,nan,nan,nan
2350.554,5.8195,6.4293,nan,nan,nan,nan
2372.347,5.8266,6.4303,nan,nan,nan,nan
2394.343,5.8334,6.4309,nan,nan,nan,nan
2416.542,5.8400,6.4311,nan,nan,nan,nan
2438.947,5.8463,6.4310,nan,nan,nan,nan
2461.560,5.8524,6.4304,nan,nan,nan,nan
2484.382,5.8584,6.4295,nan,nan,nan,nan
2507.416,5.8641,6.4283,nan,nan,nan,nan
2530.664,5.8696,6.4267,nan,nan,nan,nan
2554.127,5.8749,6.4247,nan,nan,nan,nan
2577.807,5.8801,6.4224,nan,nan,nan,nan
2601.707,5.8851,6.4197,nan,nan,nan,nan
2625.829,5.8899,6.4167,nan,nan,nan,nan
2650.175,5.8945,6.4134,nan,nan,nan,nan
2674.746,5.8990,6.4098,nan,nan,nan,nan
2699.545,5.9033,6.4058,nan,nan,nan,nan
2724.574,5.9075,6.4015,nan,nan,nan,nan
2749.834,5.9115,6.3968,nan,nan,nan,nan
2775.330,5.9154,6.3919,nan,nan,nan,nan
2801.061,5.9191,6.3866,nan,nan,nan,nan
2827.031,5.9227,6.3811,nan,nan,nan,nan
2853.242,5.9262,6.3752,nan,nan,nan,nan
2879.696,5.9296,6.3690,nan,nan,nan,nan
2906.395,5.9328,6.3625,nan,nan,nan,nan
2933.342,5.9360,6.3557,nan,nan,nan,nan
2960.538,5.9390,6.3486,nan,nan,nan,nan
2987.987,5.9419,6.3412,nan,nan,nan,nan
3015.690,5.9447,6.3335,nan,nan,nan,nan
3043.650,5.9474,6.3256,nan,nan,nan,nan
3071.869,5.9501,6.3173,nan,nan,nan,nan
3100.350,5.9526,6.3087,nan,nan,nan,nan
3129.095,5.9550,6.2998,nan,nan,nan,nan
3158.107,5.9574,6.2907,nan,nan,nan,nan
3187.387,5.9596,6.2812,nan,nan,nan,nan
3216.939,5.9618,6.2715,nan,nan,nan,nan
3246.765,5.9639,6.2615,nan,nan,nan,nan
3276.867,5.9660,6.2512,nan,nan,nan,nan
3307.249,5.9679,6.2406,nan,nan,nan,nan
3337.912,5.9698,6.2297,nan,nan,nan,nan
3368.860,5.9717,6.2185,nan,nan,nan,nan
3400.094,5.9734,6.2070,nan,nan,nan,nan
3431.618,5.9751,6.1953,nan,nan,nan,nan
3463.434,5.9767,6.1832,nan,nan,nan,nan
3495.546,5.9783,6.1709,nan,nan,nan,nan
3527.955,5.9798,6.1582,nan,nan,nan,nan
3560.664,5.9813,6.1453,nan,nan,nan,nan
3593.677,5.9827,6.1321,nan,nan,nan,nan
3626.996,5.9841,6.1186,nan,nan,nan,nan
3660.623,5.9854,6.1048,nan,nan,nan,nan
3694.563,5.9867,6.0907,nan,nan,nan,nan
3728.817,5.9879,6.0763,nan,nan,nan,nan
3763.389,5.9891,6.0616,nan,nan,nan,nan
3798.281,5.9902,6.0466,nan,nan,nan,nan
3833.497,5.9913,6.0313,nan,nan,nan,nan
3869.039,5.9924,6.0157,nan,nan,nan,nan
3904.911,5.9934,5.9999,nan,nan,nan,nan
3941.116,5.9944,5.9837,nan,nan,nan,nan
3977.656,5.9953,5.9672,nan,nan,nan,nan
4014.535,5.9962,5.9504,nan,nan,nan,nan
4051.755,5.9971,5.9333,nan,nan,nan,nan
4089.321,5.9980,5.9159,nan,nan,nan,nan
4127.236,5.9988,5.8982,nan,nan,nan,nan
