freq_Hz,on_axis_dB,listening_window_dB,early_reflections_dB,sound_power_dB,DI_dB,PIR_dB
13202.898,6.0204,3.1292,nan,nan,nan,nan
13325.309,6.0204,3.1278,nan,nan,nan,nan
13448.855,6.0204,3.1254,nan,nan,nan,nan
13573.546,6.0204,3.1220,nan,nan,nan,nan
13699.393,6.0204,3.1176,nan,nan,nan,nan
13826.408,6.0204,3.1121,nan,nan,nan,nan
13954.599,6.0204,3.1054,nan,nan,nan,nan
14083.980,6.0204,3.0975,nan,nan,nan,nan
14214.559,6.0204,3.0884,nan,nan,nan,nan
14346.350,6.0204,3.0781,nan,nan,nan,nan
14479.362,6.0205,3.0664,nan,nan,nan,nan
14613.608,6.0205,3.0534,nan,nan,nan,nan
14749.098,6.0205,3.0391,nan,nan,nan,nan
14885.845,6.0205,3.0234,nan,nan,nan,nan
15023.859,6.0205,3.0063,nan,nan,nan,nan
15163.153,6.0205,2.9877,nan,nan,nan,nan
15303.738,6.0205,2.9678,nan,nan,nan,nan
15445.627,6.0205,2.9464,nan,nan,nan,nan
15588.832,6.0205,2.9235,nan,nan,nan,nan
15733.364,6.0205,2.8992,nan,nan,nan,nan
15879.236,6.0205,2.8734,nan,nan,nan,nan
16026.460,6.0205,2.8463,nan,nan,nan,nan
16175.050,6.0205,2.8177,nan,nan,nan,nan
16325.017,6.0205,2.7877,nan,nan,nan,nan
16476.375,6.0205,2.7564,nan,nan,nan,nan
16629.136,6.0205,2.7238,nan,nan,nan,nan
16783.313,6.0205,2.6899,nan,nan,nan,nan
16938.920,6.0205,2.6548,nan,nan,nan,nan
17095.969,6.0205,2.6185,nan,nan,nan,nan
17254.475,6.0205,2.5812,nan,nan,nan,nan
17414.450,6.0205,2.5428,nan,nan,nan,nan
17575.908,6.0205,2.5036,nan,nan,nan,nan
17738.863,6.0205,2.4635,nan,nan,nan,nan
17903.329,6.0205,2.4227,nan,nan,nan,nan
18069.320,6.0205,2.3813,nan,nan,nan,nan
18236.850,6.0205,2.3394,nan,nan,nan,nan
18405.934,6.0205,2.2971,nan,nan,nan,nan
18576.585,6.0205,2.2546,nan,nan,nan,nan
18748.818,6.0205,2.2120,nan,nan,nan,nan
18922.648,6.0206,2.1694,nan,nan,nan,nan
19098.089,6.0206,2.1270,nan,nan,nan,nan
19275.157,6.0206,2.1064,nan,nan,nan,nan
19453.867,6.0206,2.1101,nan,nan,nan,nan
19634.234,6.0206,2.1135,nan,nan,nan,nan
19816.273,6.0206,2.1162,nan,nan,nan,nan
20000.000,6.0206,2.1183,nan,nan,nan,nan
