freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
26.28,-9.7715,-0.7715,-0.7715,3.2884,9.0000,-0.0000,9.0000,3.2738,4.0453,4.0599,-9.7725,-88.4805,-188.9912
26.38,-9.7258,-0.7258,-0.7258,3.2869,9.0000,-0.0000,9.0000,3.2723,3.9981,4.0127,-9.7268,-88.3890,-188.8695
26.47,-9.6805,-0.6805,-0.6805,3.2854,9.0000,-0.0000,9.0000,3.2708,3.9513,3.9659,-9.6815,-88.2975,-188.7478
26.56,-9.6355,-0.6355,-0.6355,3.2838,9.0000,-0.0000,9.0000,3.2693,3.9048,3.9193,-9.6365,-88.2062,-188.6260
26.66,-9.5908,-0.5908,-0.5908,3.2823,9.0000,-0.0000,9.0000,3.2678,3.8587,3.8731,-9.5919,-88.1149,-188.5043
26.75,-9.5465,-0.5465,-0.5465,3.2807,9.0000,-0.0000,9.0000,3.2663,3.8128,3.8272,-9.5475,-88.0323,-188.3826
26.84,-9.5025,-0.5025,-0.5025,3.2791,9.0000,-0.0000,9.0000,3.2648,3.7673,3.7817,-9.5036,-87.9575,-188.2609
26.94,-9.4588,-0.4588,-0.4588,3.2776,9.0000,-0.0000,9.0000,3.2632,3.7221,3.7364,-9.4599,-87.8829,-188.1392
27.03,-9.4155,-0.4155,-0.4155,3.2760,9.0000,-0.0000,9.0000,3.2617,3.6772,3.6915,-9.4165,-87.8084,-188.0175
27.13,-9.3725,-0.3725,-0.3725,3.2744,9.0000,-0.0000,9.0000,3.2601,3.6326,3.6468,-9.3735,-87.7342,-187.8958
27.22,-9.3298,-0.3298,-0.3298,3.2727,9.0000,-0.0000,9.0000,3.2585,3.5883,3.6025,-9.3308,-87.6600,-187.7740
27.32,-9.2874,-0.2874,-0.2874,3.2711,9.0000,-0.0000,9.0000,3.2570,3.5444,3.5585,-9.2885,-87.5861,-187.6523
27.41,-9.2453,-0.2453,-0.2453,3.2695,9.0000,-0.0000,9.0000,3.2554,3.5007,3.5148,-9.2464,-87.5123,-187.5306
27.51,-9.2036,-0.2036,-0.2036,3.2678,9.0000,-0.0000,9.0000,3.2538,3.4574,3.4714,-9.2047,-87.4386,-187.4089
27.61,-9.1622,-0.1622,-0.1622,3.2662,9.0000,-0.0000,9.0000,3.2522,3.4144,3.4284,-9.1633,-87.3651,-187.2872
27.70,-9.1211,-0.1211,-0.1211,3.2645,9.0000,-0.0000,9.0000,3.2505,3.3716,3.3856,-9.1222,-87.2918,-187.1655
27.80,-9.0803,-0.0803,-0.0803,3.2628,9.0000,-0.0000,9.0000,3.2489,3.3292,3.3431,-9.0814,-87.2187,-187.0437
27.90,-9.0399,-0.0399,-0.0399,3.2611,9.0000,-0.0000,9.0000,3.2473,3.2871,3.3010,-9.0410,-87.1458,-186.9220
28.00,-8.9997,0.0003,0.0003,3.2594,9.0000,-0.0000,9.0000,3.2456,3.2454,3.2591,-9.0008,-87.0730,-186.8003
28.09,-8.9599,0.0401,0.0401,3.2577,9.0000,-0.0000,9.0000,3.2440,3.2039,3.2176,-8.9610,-87.0003,-186.6786
28.19,-8.9204,0.0796,0.0796,3.2560,9.0000,-0.0000,9.0000,3.2423,3.1627,3.1764,-8.9215,-86.9279,-186.5569
28.29,-8.8812,0.1188,0.1188,3.2542,9.0000,-0.0000,9.0000,3.2406,3.1218,3.1354,-8.8823,-86.8417,-186.4352
28.39,-8.8423,0.1577,0.1577,3.2525,9.0000,-0.0000,9.0000,3.2389,3.0812,3.0948,-8.8434,-86.6489,-186.3134
28.49,-8.8037,0.1963,0.1963,3.2507,9.0000,-0.0000,9.0000,3.2372,3.0409,3.0544,-8.8048,-86.4557,-186.1917
28.59,-8.7654,0.2346,0.2346,3.2490,9.0000,-0.0000,9.0000,3.2355,3.0009,3.0144,-8.7666,-86.2623,-186.0700
28.69,-8.7274,0.2726,0.2726,3.2472,9.0000,-0.0000,9.0000,3.2338,2.9613,2.9746,-8.7286,-86.0687,-185.9483
28.79,-8.6898,0.3102,0.3102,3.2454,9.0000,-0.0000,9.0000,3.2321,2.9219,2.9352,-8.6910,-85.8748,-185.8266
28.89,-8.6524,0.3476,0.3476,3.2436,9.0000,-0.0000,9.0000,3.2303,2.8828,2.8960,-8.6536,-85.6806,-185.7049
28.99,-8.6154,0.3846,0.3846,3.2418,9.0000,-0.0000,9.0000,3.2286,2.8439,2.8572,-8.6166,-85.4862,-185.5831
29.10,-8.5786,0.4214,0.4214,3.2400,9.0000,-0.0000,9.0000,3.2268,2.8054,2.8186,-8.5799,-85.2916,-185.4614
29.20,-8.5421,0.4579,0.4579,3.2382,9.0000,-0.0000,9.0000,3.2251,2.7672,2.7803,-8.5434,-85.0966,-185.3397
29.30,-8.5060,0.4940,0.4940,3.2363,9.0000,-0.0000,9.0000,3.2233,2.7293,2.7423,-8.5073,-84.9014,-185.2180
29.40,-8.4701,0.5299,0.5299,3.2345,9.0000,-0.0000,9.0000,3.2215,2.6916,2.7046,-8.4715,-84.7060,-185.0963
29.51,-8.4346,0.5654,0.5654,3.2326,9.0000,-0.0000,9.0000,3.2197,2.6543,2.6672,-8.4359,-84.5103,-184.9746
29.61,-8.3993,0.6007,0.6007,3.2308,9.0000,-0.0000,9.0000,3.2179,2.6172,2.6301,-8.4007,-84.3143,-184.8528
29.71,-8.3643,0.6357,0.6357,3.2289,9.0000,-0.0000,9.0000,3.2161,2.5804,2.5932,-8.3658,-84.1181,-184.7311
29.82,-8.3297,0.6703,0.6703,3.2270,9.0000,-0.0000,9.0000,3.2142,2.5439,2.5566,-8.3311,-83.9216,-184.6094
29.92,-8.2953,0.7047,0.7047,3.2251,9.0000,-0.0000,9.0000,3.2124,2.5077,2.5204,-8.2968,-83.7248,-184.4877
30.03,-8.2612,0.7388,0.7388,3.2231,9.0000,-0.0000,9.0000,3.2105,2.4717,2.4843,-8.2627,-83.5170,-184.3660
30.13,-8.2274,0.7726,0.7726,3.2212,9.0000,-0.0000,9.0000,3.2087,2.4361,2.4486,-8.2289,-83.2998,-184.2443
30.24,-8.1939,0.8061,0.8061,3.2193,9.0000,-0.0000,9.0000,3.2068,2.4007,2.4132,-8.1955,-83.0822,-184.1225
30.34,-8.1607,0.8393,0.8393,3.2173,9.0000,-0.0000,9.0000,3.2049,2.3656,2.3780,-8.1623,-82.8644,-184.0008
30.45,-8.1277,0.8723,0.8723,3.2154,9.0000,-0.0000,9.0000,3.2030,2.3307,2.3431,-8.1294,-82.6462,-183.8791
30.56,-8.0951,0.9049,0.9049,3.2134,9.0000,-0.0000,9.0000,3.2011,2.2961,2.3084,-8.0967,-82.4276,-183.7574
30.67,-8.0627,0.9373,0.9373,3.2114,9.0000,-0.0000,9.0000,3.1992,2.2618,2.2741,-8.0644,-82.2087,-183.6357
30.77,-8.0306,0.9694,0.9694,3.2094,9.0000,-0.0000,9.0000,3.1972,2.2278,2.2400,-8.0323,-81.9895,-183.5140
30.88,-7.9988,1.0012,1.0012,3.2074,9.0000,-0.0000,9.0000,3.1953,2.1941,2.2062,-8.0006,-81.7699,-183.3923
30.99,-7.9672,1.0328,1.0328,3.2054,9.0000,-0.0000,9.0000,3.1933,2.1606,2.1726,-7.9691,-81.5500,-183.2705
31.10,-7.9360,1.0640,1.0640,3.2033,9.0000,-0.0000,9.0000,3.1914,2.1273,2.1393,-7.9378,-81.3297,-183.1488
31.21,-7.9050,1.0950,1.0950,3.2013,9.0000,-0.0000,9.0000,3.1894,2.0944,2.1063,-7.9069,-81.1091,-183.0271
31.32,-7.8743,1.1257,1.1257,3.1992,9.0000,-0.0000,9.0000,3.1874,2.0617,2.0735,-7.8762,-80.8881,-182.9054
31.43,-7.8438,1.1562,1.1562,3.1971,9.0000,-0.0000,9.0000,3.1854,2.0292,2.0410,-7.8458,-80.6668,-182.7837
31.54,-7.8137,1.1863,1.1863,3.1951,9.0000,-0.0000,9.0000,3.1834,1.9971,2.0087,-7.8157,-80.4452,-182.6620
31.65,-7.7838,1.2162,1.2162,3.1930,9.0000,-0.0000,9.0000,3.1814,1.9651,1.9767,-7.7859,-80.2231,-182.5402
31.76,-7.7541,1.2459,1.2459,3.1909,9.0000,-0.0000,9.0000,3.1793,1.9335,1.9450,-7.7563,-80.0017,-182.4185
31.87,-7.7248,1.2752,1.2752,3.1887,9.0000,-0.0000,9.0000,3.1773,1.9021,1.9135,-7.7269,-79.7907,-182.2968
31.98,-7.6957,1.3043,1.3043,3.1866,9.0000,-0.0000,9.0000,3.1752,1.8709,1.8823,-7.6979,-79.5793,-182.1751
