freq_Hz,mk2_sum_dB,mk3_sum_dB,mk2_woof_dB,mk3_mid_dB,mk3_tweeter_dB,baffle_step_dB,wg_loading_mk2_dB,wg_loading_mk3_dB
25.29,74.6025,74.6025,74.5824,21.9002,-79.6608,-5.9428,0.1788,0.4573
25.38,74.6469,74.6469,74.6266,22.0224,-79.5386,-5.9423,0.1790,0.4578
25.47,74.6912,74.6912,74.6707,22.1446,-79.4164,-5.9418,0.1792,0.4583
25.56,74.7354,74.7354,74.7147,22.2667,-79.2943,-5.9412,0.1794,0.4588
25.65,74.7794,74.7794,74.7585,22.3889,-79.1721,-5.9407,0.1796,0.4593
25.74,74.8233,74.8233,74.8022,22.5110,-79.0499,-5.9401,0.1798,0.4597
25.83,74.8671,74.8671,74.8458,22.6332,-78.9277,-5.9396,0.1800,0.4602
25.92,74.9107,74.9107,74.8893,22.7554,-78.8055,-5.9390,0.1801,0.4607
26.01,74.9543,74.9543,74.9326,22.8776,-78.6833,-5.9384,0.1803,0.4612
26.10,74.9976,74.9976,74.9758,22.9997,-78.5611,-5.9379,0.1805,0.4616
26.19,75.0409,75.0409,75.0189,23.1219,-78.4389,-5.9373,0.1807,0.4621
26.28,75.0840,75.0840,75.0618,23.2441,-78.3167,-5.9367,0.1809,0.4626
26.38,75.1270,75.1270,75.1046,23.3663,-78.1945,-5.9361,0.1811,0.4631
26.47,75.1699,75.1699,75.1472,23.4884,-78.0723,-5.9356,0.1813,0.4636
26.56,75.2126,75.2126,75.1898,23.6106,-77.9501,-5.9350,0.1815,0.4640
26.66,75.2552,75.2552,75.2321,23.7328,-77.8279,-5.9344,0.1817,0.4645
26.75,75.2977,75.2977,75.2744,23.8550,-77.7057,-5.9338,0.1819,0.4650
26.84,75.3400,75.3400,75.3165,23.9772,-77.5835,-5.9332,0.1820,0.4655
26.94,75.3822,75.3822,75.3585,24.0994,-77.4613,-5.9326,0.1822,0.4660
27.03,75.4243,75.4243,75.4003,24.2216,-77.3391,-5.9320,0.1824,0.4665
27.13,75.4662,75.4662,75.4420,24.3438,-77.2169,-5.9314,0.1826,0.4669
27.22,75.5080,75.5080,75.4836,24.4660,-77.0947,-5.9307,0.1828,0.4674
27.32,75.5496,75.5496,75.5250,24.5882,-76.9725,-5.9301,0.1830,0.4679
27.41,75.5911,75.5911,75.5663,24.7104,-76.8503,-5.9295,0.1832,0.4684
27.51,75.6325,75.6325,75.6074,24.8326,-76.7281,-5.9289,0.1834,0.4689
27.61,75.6737,75.6737,75.6484,24.9548,-76.6059,-5.9282,0.1836,0.4694
27.70,75.7148,75.7148,75.6893,25.0770,-76.4837,-5.9276,0.1838,0.4699
27.80,75.7558,75.7558,75.7300,25.1993,-76.3615,-5.9269,0.1840,0.4703
