freq_Hz,harman_inroom_dB,bbc_inroom_dB,harman_target_dB,bbc_target_dB,harman_postdsp_dB,bbc_postdsp_dB
75.19,3.6876,2.7276,2.2360,1.4335,2.2338,1.4312
75.45,3.6662,2.7065,2.2303,1.4306,2.2282,1.4284
75.72,3.6447,2.6853,2.2247,1.4277,2.2224,1.4255
75.98,3.6232,2.6641,2.2190,1.4249,2.2166,1.4225
76.25,3.6017,2.6430,2.2133,1.4220,2.2109,1.4195
76.52,3.5803,2.6219,2.2076,1.4191,2.2051,1.4165
76.78,3.5590,2.6008,2.2018,1.4162,2.1993,1.4135
77.05,3.5377,2.5799,2.1961,1.4133,2.1935,1.4105
77.32,3.5165,2.5590,2.1904,1.4103,2.1878,1.4076
77.60,3.4953,2.5382,2.1846,1.4074,2.1820,1.4047
77.87,3.4742,2.5174,2.1789,1.4045,2.1763,1.4017
78.14,3.4531,2.4967,2.1731,1.4015,2.1706,1.3988
78.41,3.4322,2.4761,2.1673,1.3986,2.1648,1.3959
78.69,3.4112,2.4556,2.1615,1.3956,2.1591,1.3931
78.97,3.3904,2.4351,2.1557,1.3926,2.1535,1.3902
79.24,3.3696,2.4147,2.1499,1.3897,2.1478,1.3874
79.52,3.3489,2.3944,2.1441,1.3867,2.1421,1.3846
79.80,3.3283,2.3742,2.1383,1.3837,2.1365,1.3818
80.08,3.3076,2.3539,2.1325,1.3807,2.1308,1.3789
80.36,3.2867,2.3333,2.1266,1.3777,2.1248,1.3757
80.64,3.2658,2.3128,2.1208,1.3746,2.1187,1.3725
80.93,3.2450,2.2924,2.1149,1.3716,2.1128,1.3693
81.21,3.2243,2.2720,2.1090,1.3686,2.1068,1.3662
81.50,3.2036,2.2517,2.1032,1.3655,2.1008,1.3630
81.78,3.1830,2.2315,2.0973,1.3625,2.0949,1.3599
82.07,3.1624,2.2114,2.0914,1.3594,2.0890,1.3568
82.36,3.1420,2.1913,2.0855,1.3564,2.0831,1.3537
82.65,3.1216,2.1713,2.0796,1.3533,2.0772,1.3507
82.94,3.1012,2.1514,2.0737,1.3502,2.0713,1.3477
83.23,3.0809,2.1315,2.0677,1.3471,2.0655,1.3447
83.52,3.0607,2.1118,2.0618,1.3440,2.0597,1.3417
83.81,3.0406,2.0921,2.0559,1.3409,2.0539,1.3388
84.11,3.0205,2.0725,2.0499,1.3378,2.0481,1.3359
84.40,3.0006,2.0529,2.0440,1.3347,2.0424,1.3330
84.70,2.9807,2.0335,2.0380,1.3315,2.0367,1.3302
84.99,2.9604,2.0137,2.0320,1.3284,2.0306,1.3269
85.29,2.9401,1.9938,2.0261,1.3252,2.0245,1.3235
85.59,2.9199,1.9740,2.0201,1.3221,2.0183,1.3201
85.89,2.8997,1.9542,2.0141,1.3189,2.0121,1.3167
86.19,2.8796,1.9345,2.0081,1.3158,2.0059,1.3134
86.50,2.8595,1.9149,2.0021,1.3126,1.9997,1.3100
86.80,2.8395,1.8954,1.9961,1.3094,1.9936,1.3066
87.10,2.8196,1.8759,1.9901,1.3062,1.9874,1.3033
87.41,2.7998,1.8565,1.9841,1.3030,1.9812,1.2999
87.72,2.7800,1.8372,1.9780,1.2998,1.9751,1.2966
88.03,2.7602,1.8179,1.9720,1.2966,1.9689,1.2932
88.33,2.7406,1.7987,1.9660,1.2934,1.9628,1.2899
88.64,2.7210,1.7796,1.9599,1.2902,1.9567,1.2866
88.96,2.7015,1.7606,1.9539,1.2869,1.9506,1.2832
89.27,2.6820,1.7417,1.9478,1.2837,1.9444,1.2799
89.58,2.6627,1.7228,1.9418,1.2805,1.9383,1.2766
89.89,2.6434,1.7040,1.9357,1.2772,1.9323,1.2733
90.21,2.6241,1.6853,1.9297,1.2740,1.9262,1.2701
90.53,2.6050,1.6666,1.9236,1.2707,1.9202,1.2670
90.84,2.5859,1.6481,1.9175,1.2674,1.9143,1.2639
91.16,2.5669,1.6296,1.9114,1.2642,1.9085,1.2609
91.48,2.5479,1.6112,1.9054,1.2609,1.9027,1.2579
91.80,2.5291,1.5929,1.8993,1.2576,1.8971,1.2551
92.13,2.5103,1.5746,1.8932,1.2543,1.8915,1.2523
92.45,2.4916,1.5565,1.8871,1.2510,1.8859,1.2497
92.77,2.4729,1.5384,1.8810,1.2477,1.8805,1.2471
93.10,2.4544,1.5205,1.8749,1.2444,1.8752,1.2446
93.43,2.4359,1.5026,1.8688,1.2411,1.8699,1.2422
93.75,2.4175,1.4848,1.8627,1.2377,1.8647,1.2399
94.08,2.3992,1.4671,1.8566,1.2344,1.8596,1.2377
94.41,2.3810,1.4495,1.8505,1.2311,1.8547,1.2357
94.75,2.3629,1.4320,1.8444,1.2277,1.8498,1.2337
95.08,2.3449,1.4146,1.8383,1.2244,1.8450,1.2318
95.41,2.3250,1.3951,1.8321,1.2210,1.8383,1.2278
95.75,2.3047,1.3752,1.8260,1.2177,1.8311,1.2232
96.08,2.2845,1.3554,1.8199,1.2143,1.8236,1.2184
96.42,2.2643,1.3355,1.8138,1.2109,1.8160,1.2134
96.76,2.2441,1.3157,1.8077,1.2076,1.8083,1.2081
97.10,2.2239,1.2959,1.8015,1.2042,1.8003,1.2027
97.44,2.2038,1.2762,1.7954,1.2008,1.7922,1.1971
97.78,2.1837,1.2564,1.7893,1.1974,1.7838,1.1912
98.12,2.1636,1.2367,1.7832,1.1940,1.7753,1.1851
98.47,2.1435,1.2171,1.7770,1.1906,1.7666,1.1788
98.81,2.1235,1.1974,1.7709,1.1872,1.7576,1.1723
99.16,2.1035,1.1778,1.7648,1.1838,1.7485,1.1655
99.51,2.0835,1.1582,1.7586,1.1804,1.7391,1.1584
99.86,2.0636,1.1387,1.7525,1.1770,1.7294,1.1511
100.21,2.0437,1.1191,1.7464,1.1736,1.7195,1.1435
100.56,2.0238,1.0996,1.7402,1.1701,1.7094,1.1356
100.91,2.0062,1.0827,1.7341,1.1667,1.7013,1.1300
101.27,1.9930,1.0707,1.7280,1.1633,1.6974,1.1291
101.62,1.9802,1.0591,1.7219,1.1598,1.6936,1.1281
101.98,1.9675,1.0477,1.7157,1.1564,1.6897,1.1272
102.34,1.9552,1.0366,1.7096,1.1529,1.6858,1.1263
102.70,1.9431,1.0258,1.7035,1.1495,1.6819,1.1253
103.06,1.9313,1.0153,1.6973,1.1460,1.6780,1.1244
103.42,1.9197,1.0051,1.6912,1.1426,1.6742,1.1234
103.78,1.9085,0.9952,1.6851,1.1391,1.6703,1.1224
104.14,1.8975,0.9856,1.6790,1.1356,1.6664,1.1215
104.51,1.8868,0.9764,1.6729,1.1322,1.6625,1.1205
104.88,1.8765,0.9675,1.6667,1.1287,1.6587,1.1195
105.24,1.8664,0.9589,1.6606,1.1252,1.6548,1.1186
105.61,1.8567,0.9507,1.6545,1.1217,1.6509,1.1176
105.98,1.8472,0.9428,1.6484,1.1182,1.6471,1.1166
106.36,1.8382,0.9353,1.6423,1.1148,1.6432,1.1156
106.73,1.8294,0.9282,1.6362,1.1113,1.6394,1.1147
107.10,1.8178,0.9180,1.6301,1.1078,1.6325,1.1103
107.48,1.8059,0.9073,1.6240,1.1043,1.6251,1.1054
107.86,1.7941,0.8968,1.6179,1.1008,1.6179,1.1006
108.24,1.7825,0.8865,1.6118,1.0973,1.6107,1.0959
108.62,1.7712,0.8765,1.6057,1.0938,1.6037,1.0914
109.00,1.7600,0.8667,1.5996,1.0903,1.5969,1.0870
109.38,1.7491,0.8571,1.5935,1.0867,1.5901,1.0827
109.76,1.7383,0.8478,1.5874,1.0832,1.5835,1.0787
110.15,1.7278,0.8386,1.5814,1.0797,1.5771,1.0747
110.54,1.7175,0.8298,1.5753,1.0762,1.5708,1.0710
110.92,1.7074,0.8211,1.5692,1.0727,1.5647,1.0674
111.31,1.6975,0.8127,1.5632,1.0692,1.5588,1.0640
111.70,1.6879,0.8046,1.5571,1.0656,1.5530,1.0608
112.10,1.6784,0.7967,1.5511,1.0621,1.5474,1.0578
