freq_Hz,all_zero_dB,optimized_dB,post_dsp_dB,harman_target_dB,dsp_correction_dB
20.00,-9.2866,-5.2891,3.0776,3.3654,8.3667
20.05,-9.2381,-5.2406,3.1025,3.3648,8.3430
20.09,-9.1897,-5.1922,3.1263,3.3642,8.3185
20.14,-9.1415,-5.1440,3.1490,3.3636,8.2930
20.19,-9.0935,-5.0960,3.1707,3.3629,8.2666
20.23,-9.0456,-5.0481,3.1913,3.3623,8.2394
20.28,-8.9979,-5.0003,3.2109,3.3617,8.2112
20.33,-8.9503,-4.9527,3.2294,3.3611,8.1822
20.38,-8.9028,-4.9053,3.2469,3.3605,8.1522
20.42,-8.8555,-4.8580,3.2634,3.3598,8.1214
20.47,-8.8084,-4.8109,3.2788,3.3592,8.0897
20.52,-8.7614,-4.7639,3.2932,3.3586,8.0571
20.57,-8.7146,-4.7171,3.3065,3.3579,8.0236
20.62,-8.6679,-4.6704,3.3189,3.3573,7.9893
20.66,-8.6214,-4.6239,3.3302,3.3567,7.9541
20.71,-8.5750,-4.5775,3.3405,3.3560,7.9180
20.76,-8.5288,-4.5313,3.3498,3.3554,7.8811
20.81,-8.4828,-4.4852,3.3580,3.3547,7.8432
20.86,-8.4368,-4.4393,3.3653,3.3541,7.8046
20.91,-8.3911,-4.3936,3.3715,3.3534,7.7651
20.96,-8.3455,-4.3480,3.3767,3.3528,7.7247
21.01,-8.3000,-4.3025,3.3809,3.3521,7.6835
21.05,-8.2547,-4.2572,3.3842,3.3514,7.6414
21.10,-8.2096,-4.2121,3.3864,3.3508,7.5985
21.15,-8.1646,-4.1671,3.3876,3.3501,7.5547
21.20,-8.1198,-4.1223,3.3879,3.3494,7.5102
21.25,-8.0751,-4.0776,3.3871,3.3488,7.4647
21.30,-8.0306,-4.0331,3.3864,3.3481,7.4195
21.35,-7.9862,-3.9887,3.3856,3.3474,7.3743
21.40,-7.9420,-3.9445,3.3849,3.3467,7.3294
21.45,-7.8979,-3.9004,3.3841,3.3460,7.2846
21.50,-7.8540,-3.8565,3.3834,3.3453,7.2399
21.55,-7.8102,-3.8128,3.3826,3.3446,7.1954
21.60,-7.7666,-3.7692,3.3818,3.3440,7.1510
21.65,-7.7232,-3.7257,3.3811,3.3433,7.1068
21.70,-7.6799,-3.6824,3.3803,3.3426,7.0627
21.75,-7.6368,-3.6393,3.3795,3.3419,7.0188
21.80,-7.5938,-3.5963,3.3788,3.3411,6.9751
21.86,-7.5510,-3.5535,3.3780,3.3404,6.9315
21.91,-7.5083,-3.5108,3.3772,3.3397,6.8880
21.96,-7.4658,-3.4683,3.3764,3.3390,6.8447
22.01,-7.4234,-3.4259,3.3756,3.3383,6.8015
22.06,-7.3812,-3.3837,3.3748,3.3376,6.7585
22.11,-7.3391,-3.3417,3.3740,3.3368,6.7157
22.16,-7.2972,-3.2998,3.3732,3.3361,6.6730
22.22,-7.2555,-3.2580,3.3724,3.3354,6.6304
22.27,-7.2139,-3.2164,3.3716,3.3346,6.5880
22.32,-7.1725,-3.1750,3.3708,3.3339,6.5458
22.37,-7.1312,-3.1337,3.3700,3.3332,6.5037
22.42,-7.0900,-3.0926,3.3691,3.3324,6.4617
22.48,-7.0491,-3.0516,3.3683,3.3317,6.4200
22.53,-7.0083,-3.0108,3.3675,3.3309,6.3783
22.58,-6.9676,-2.9702,3.3666,3.3302,6.3368
22.63,-6.9271,-2.9297,3.3658,3.3294,6.2955
22.69,-6.8867,-2.8893,3.3650,3.3287,6.2543
22.74,-6.8465,-2.8491,3.3641,3.3279,6.2133
22.79,-6.8065,-2.8091,3.3633,3.3271,6.1724
22.85,-6.7666,-2.7692,3.3624,3.3264,6.1316
22.90,-6.7269,-2.7295,3.3616,3.3256,6.0911
22.95,-6.6873,-2.6899,3.3607,3.3248,6.0506
23.01,-6.6479,-2.6505,3.3599,3.3240,6.0104
23.06,-6.6086,-2.6112,3.3590,3.3233,5.9702
23.12,-6.5695,-2.5721,3.3581,3.3225,5.9302
23.17,-6.5305,-2.5332,3.3573,3.3217,5.8904
23.22,-6.4917,-2.4943,3.3564,3.3209,5.8507
23.28,-6.4531,-2.4557,3.3555,3.3201,5.8112
23.33,-6.4146,-2.4172,3.3546,3.3193,5.7718
23.39,-6.3762,-2.3789,3.3538,3.3185,5.7326
23.44,-6.3380,-2.3407,3.3529,3.3177,5.6935
23.50,-6.3000,-2.3027,3.3520,3.3169,5.6546
23.55,-6.2621,-2.2648,3.3511,3.3161,5.6159
23.61,-6.2244,-2.2271,3.3502,3.3153,5.5772
23.66,-6.1868,-2.1895,3.3493,3.3144,5.5388
23.72,-6.1494,-2.1521,3.3484,3.3136,5.5004
23.77,-6.1121,-2.1148,3.3475,3.3128,5.4623
23.83,-6.0750,-2.0777,3.3465,3.3120,5.4242
23.88,-6.0381,-2.0408,3.3456,3.3111,5.3864
23.94,-6.0013,-2.0040,3.3447,3.3103,5.3487
24.00,-5.9646,-1.9673,3.3438,3.3094,5.3111
24.05,-5.9281,-1.9308,3.3428,3.3086,5.2737
24.11,-5.8918,-1.8945,3.3419,3.3078,5.2364
24.16,-5.8556,-1.8583,3.3410,3.3069,5.1993
24.22,-5.8196,-1.8223,3.3400,3.3061,5.1623
24.28,-5.7837,-1.7864,3.3391,3.3052,5.1255
24.33,-5.7479,-1.7507,3.3381,3.3043,5.0888
24.39,-5.7124,-1.7151,3.3372,3.3035,5.0523
24.45,-5.6769,-1.6797,3.3362,3.3026,5.0159
24.51,-5.6417,-1.6444,3.3353,3.3017,4.9797
24.56,-5.6065,-1.6093,3.3343,3.3009,4.9436
24.62,-5.5716,-1.5743,3.3333,3.3000,4.9077
24.68,-5.5368,-1.5395,3.3324,3.2991,4.8719
24.74,-5.5021,-1.5048,3.3314,3.2982,4.8362
24.79,-5.4676,-1.4703,3.3304,3.2973,4.8007
24.85,-5.4332,-1.4360,3.3294,3.2964,4.7654
24.91,-5.3990,-1.4018,3.3284,3.2955,4.7302
24.97,-5.3649,-1.3677,3.3274,3.2946,4.6952
25.03,-5.3310,-1.3338,3.3265,3.2937,4.6603
25.08,-5.2973,-1.3001,3.3255,3.2928,4.6255
25.14,-5.2637,-1.2665,3.3245,3.2919,4.5909
25.20,-5.2302,-1.2330,3.3234,3.2910,4.5565
25.26,-5.1969,-1.1997,3.3224,3.2901,4.5221
25.32,-5.1638,-1.1666,3.3214,3.2891,4.4880
25.38,-5.1308,-1.1336,3.3204,3.2882,4.4540
25.44,-5.0979,-1.1007,3.3194,3.2873,4.4201
25.50,-5.0652,-1.0680,3.3183,3.2863,4.3864
