freq_hz,mk2_system_db,mk3_system_db,difference_db,mk2_tweeter_db,mk3_tweeter_db,mk2_mid_db,mk3_mid_db
7486.03,87.4247,90.6000,-3.1753,87.4247,90.6000,22.1833,17.7446
7705.56,86.9501,90.6485,-3.6984,86.9501,90.6485,22.0644,17.6254
7931.52,86.5117,90.6770,-4.1653,86.5117,90.6770,21.7949,17.3557
8164.11,86.3061,90.5762,-4.2701,86.3061,90.5762,20.5558,16.1163
8403.51,86.1074,90.4943,-4.3869,86.1074,90.4943,19.3405,14.9008
8649.94,85.9567,90.5430,-4.5864,85.9567,90.5430,18.2906,13.8507
8903.60,85.8276,90.5807,-4.7530,85.8276,90.5807,17.1417,12.7017
9164.69,85.8612,90.5348,-4.6736,85.8612,90.5348,15.2504,10.8102
9433.44,85.8959,90.5043,-4.6084,85.8959,90.5043,13.4173,8.9770
9710.07,85.9396,90.5980,-4.6584,85.9396,90.5980,12.0588,7.6184
9994.82,,,,,90.6872,,
10287.91,,,,,90.7362,,
10589.60,,,,,90.8109,,
10900.13,,,,,91.1388,,
11219.77,,,,,91.4529,,
11548.78,,,,,91.6165,,
11887.45,,,,,91.7753,,
12236.04,,,,,91.8743,,
12594.86,,,,,91.9779,,
12964.19,,,,,92.1467,,
13344.36,,,,,92.3014,,
13735.68,,,,,92.2312,,
14138.47,,,,,92.1519,,
14553.07,,,,,91.9025,,
14979.83,,,,,91.6636,,
15419.11,,,,,91.6632,,
15871.27,,,,,91.6712,,
16336.68,,,,,91.9198,,
16815.75,,,,,92.1560,,
17308.86,,,,,91.9117,,
17816.43,,,,,91.6697,,
18338.89,,,,,91.5649,,
18876.67,,,,,91.4605,,
19430.22,,,,,91.4104,,
20000.00,,,,,91.3604,,
