freq_Hz,woofer_dB,mid_dB,tweeter_dB,sum_dB
5268.27,-121.3362,-52.4721,-1.5947,-1.5699
5286.76,-121.4578,-52.6239,-1.5963,-1.5719
5305.31,-121.5795,-52.7758,-1.5978,-1.5739
5323.93,-121.7011,-52.9277,-1.5994,-1.5758
5342.62,-121.8227,-53.0798,-1.6009,-1.5778
5361.37,-121.9444,-53.2320,-1.6025,-1.5798
5380.18,-122.0660,-53.3844,-1.6041,-1.5817
5399.06,-122.1876,-53.5368,-1.6057,-1.5837
5418.01,-122.3093,-53.6893,-1.6073,-1.5857
5437.02,-122.4309,-53.8408,-1.6089,-1.5877
5456.11,-122.5525,-53.9919,-1.6105,-1.5896
5475.25,-122.6742,-54.1430,-1.6121,-1.5916
5494.47,-122.7958,-54.2942,-1.6138,-1.5936
5513.75,-122.9175,-54.4455,-1.6154,-1.5956
5533.10,-123.0391,-54.5970,-1.6171,-1.5976
5552.52,-123.1607,-54.7485,-1.6187,-1.5996
5572.01,-123.2824,-54.9002,-1.6204,-1.6016
5591.56,-123.4040,-55.0519,-1.6320,-1.6135
5611.18,-123.5256,-55.2038,-1.6471,-1.6289
5630.87,-123.6473,-55.3558,-1.6623,-1.6444
5650.64,-123.7689,-55.5079,-1.6775,-1.6599
5670.47,-123.8906,-55.6601,-1.6928,-1.6754
5690.37,-124.0122,-55.8124,-1.7082,-1.6911
5710.34,-124.1339,-55.9649,-1.7236,-1.7067
5730.38,-124.2555,-56.1174,-1.7391,-1.7225
5750.49,-124.3771,-56.2667,-1.7546,-1.7382
5770.67,-124.4988,-56.4000,-1.7702,-1.7540
5790.92,-124.6204,-56.5333,-1.7858,-1.7699
5811.24,-124.7421,-56.6667,-1.8015,-1.7858
5831.64,-124.8637,-56.8001,-1.8172,-1.8018
5852.10,-124.9854,-56.9336,-1.8331,-1.8178
5872.64,-125.1070,-57.0671,-1.8489,-1.8339
5893.25,-125.2287,-57.2007,-1.8649,-1.8500
5913.93,-125.3503,-57.3343,-1.8750,-1.8604
5934.69,-125.4720,-57.4679,-1.8567,-1.8423
5955.51,-125.5936,-57.6016,-1.8382,-1.8241
5976.41,-125.7153,-57.7354,-1.8198,-1.8059
5997.39,-125.8369,-57.8692,-1.8012,-1.7876
6018.43,-125.9586,-58.0030,-1.7826,-1.7692
6039.56,-126.0802,-58.1369,-1.7639,-1.7507
6060.75,-126.2019,-58.2708,-1.7452,-1.7322
6082.02,-126.3235,-58.4048,-1.7264,-1.7137
6103.37,-126.4452,-58.5302,-1.7075,-1.6950
6124.79,-126.5668,-58.6517,-1.6886,-1.6763
6146.28,-126.6885,-58.7733,-1.6696,-1.6575
6167.85,-126.8101,-58.8948,-1.6506,-1.6386
6189.50,-126.9318,-59.0163,-1.6315,-1.6197
6211.22,-127.0534,-59.1379,-1.6123,-1.6007
6233.01,-127.1751,-59.2594,-1.5930,-1.5817
6254.89,-127.2967,-59.3809,-1.5737,-1.5625
6276.84,-127.4184,-59.5025,-1.5536,-1.5426
6298.87,-127.5400,-59.6240,-1.5329,-1.5220
6320.97,-127.6617,-59.7456,-1.5121,-1.5014
6343.16,-127.7833,-59.8671,-1.4912,-1.4808
6365.42,-127.9050,-59.9887,-1.4703,-1.4600
6387.76,-128.0267,-60.1102,-1.4493,-1.4392
6410.17,-128.1483,-60.2318,-1.4283,-1.4183
6432.67,-128.2700,-60.3533,-1.4071,-1.3973
6455.24,-128.3916,-60.4783,-1.3859,-1.3763
6477.90,-128.5133,-60.6176,-1.3646,-1.3552
6500.63,-128.6350,-60.7570,-1.3433,-1.3340
6523.45,-128.7566,-60.8964,-1.3218,-1.3127
6546.34,-128.8783,-61.0358,-1.3003,-1.2914
6569.31,-128.9999,-61.1754,-1.2788,-1.2700
6592.37,-129.1216,-61.3150,-1.2571,-1.2485
6615.50,-129.2433,-61.4546,-1.2354,-1.2269
6638.72,-129.3649,-61.5944,-1.2145,-1.2062
6662.02,-129.4866,-61.7341,-1.2220,-1.2138
6685.40,-129.6082,-61.8740,-1.2296,-1.2215
6708.86,-129.7299,-62.0139,-1.2372,-1.2293
6732.40,-129.8516,-62.1539,-1.2448,-1.2370
6756.03,-129.9732,-62.2940,-1.2525,-1.2448
6779.74,-130.0949,-62.4341,-1.2602,-1.2526
6803.53,-130.2166,-62.5743,-1.2679,-1.2604
6827.41,-130.3382,-62.7145,-1.2756,-1.2683
6851.37,-130.4599,-62.8499,-1.2834,-1.2761
6875.42,-130.5816,-62.9834,-1.2912,-1.2840
6899.54,-130.7032,-63.1168,-1.2990,-1.2920
6923.76,-130.8249,-63.2503,-1.3069,-1.2999
6948.06,-130.9465,-63.3839,-1.3148,-1.3079
6972.44,-131.0682,-63.5175,-1.3227,-1.3159
6996.91,-131.1899,-63.6511,-1.3306,-1.3240
7021.46,-131.3115,-63.7848,-1.3386,-1.3320
7046.11,-131.4332,-63.9185,-1.3529,-1.3464
7070.83,-131.5549,-64.0523,-1.3745,-1.3682
7095.65,-131.6766,-64.1861,-1.3963,-1.3900
7120.55,-131.7982,-64.3199,-1.4182,-1.4119
7145.54,-131.9199,-64.4538,-1.4401,-1.4339
7170.62,-132.0416,-64.5878,-1.4621,-1.4560
7195.78,-132.1632,-64.7218,-1.4842,-1.4782
7221.03,-132.2849,-64.8558,-1.5063,-1.5004
7246.37,-132.4066,-64.9897,-1.5286,-1.5227
7271.81,-132.5282,-65.1231,-1.5509,-1.5451
7297.33,-132.6499,-65.2566,-1.5733,-1.5676
7322.93,-132.7716,-65.3901,-1.5957,-1.5901
7348.63,-132.8932,-65.5236,-1.6183,-1.6128
7374.42,-133.0149,-65.6572,-1.6409,-1.6355
7400.30,-133.1366,-65.7909,-1.6636,-1.6582
7426.27,-133.2583,-65.9246,-1.6864,-1.6811
7452.34,-133.3799,-66.0583,-1.7093,-1.7041
7478.49,-133.5016,-66.1920,-1.7065,-1.7014
7504.73,-133.6233,-66.3258,-1.7006,-1.6955
7531.07,-133.7450,-66.4597,-1.6946,-1.6896
7557.50,-133.8666,-66.5936,-1.6886,-1.6837
7584.02,-133.9883,-66.7275,-1.6826,-1.6778
7610.64,-134.1100,-66.8615,-1.6766,-1.6718
7637.35,-134.2317,-66.9955,-1.6706,-1.6659
7664.15,-134.3533,-67.1296,-1.6645,-1.6599
7691.05,-134.4750,-67.2546,-1.6584,-1.6538
7718.04,-134.5967,-67.3762,-1.6523,-1.6478
7745.13,-134.7184,-67.4978,-1.6462,-1.6417
7772.31,-134.8400,-67.6195,-1.6400,-1.6357
7799.58,-134.9617,-67.7411,-1.6339,-1.6296
7826.96,-135.0834,-67.8627,-1.6277,-1.6234
7854.42,-135.2051,-67.9843,-1.6214,-1.6173
7881.99,-135.3267,-68.1060,-1.6152,-1.6111
7909.65,-135.4484,-68.2276,-1.6147,-1.6107
7937.41,-135.5701,-68.3492,-1.6264,-1.6224
7965.26,-135.6918,-68.4709,-1.6382,-1.6342
7993.22,-135.8134,-68.5925,-1.6500,-1.6461
8021.27,-135.9351,-68.7141,-1.6618,-1.6580
8049.42,-136.0568,-68.8358,-1.6737,-1.6699
8077.67,-136.1785,-68.9574,-1.6856,-1.6819
8106.02,-136.3002,-69.0791,-1.6976,-1.6939
8134.46,-136.4218,-69.2021,-1.7096,-1.7059
8163.01,-136.5435,-69.3297,-1.7216,-1.7180
8191.66,-136.6652,-69.4573,-1.7337,-1.7302
8220.41,-136.7869,-69.5848,-1.7459,-1.7424
8249.25,-136.9086,-69.7125,-1.7581,-1.7546
8278.20,-137.0302,-69.8401,-1.7703,-1.7669
8307.26,-137.1519,-69.9677,-1.7826,-1.7792
8336.41,-137.2736,-70.0954,-1.7949,-1.7915
8365.67,-137.3953,-70.2231,-1.8072,-1.8039
8395.02,-137.5170,-70.3508,-1.8059,-1.8026
8424.49,-137.6386,-70.4786,-1.7999,-1.7967
8454.05,-137.7603,-70.6064,-1.7940,-1.7908
8483.72,-137.8820,-70.7341,-1.7880,-1.7849
8513.49,-138.0037,-70.8619,-1.7820,-1.7790
8543.37,-138.1254,-70.9898,-1.7760,-1.7730
8573.35,-138.2470,-71.1176,-1.7700,-1.7671
8603.44,-138.3687,-71.2455,-1.7640,-1.7611
8633.63,-138.4904,-71.3999,-1.7579,-1.7550
8663.93,-138.6121,-71.5630,-1.7518,-1.7490
8694.34,-138.7338,-71.7262,-1.7457,-1.7430
8724.85,-138.8555,-71.8896,-1.7396,-1.7369
8755.47,-138.9771,-72.0531,-1.7334,-1.7308
8786.20,-139.0988,-72.2168,-1.7273,-1.7247
8817.03,-139.2205,-72.3806,-1.7211,-1.7185
8847.97,-139.3422,-72.5445,-1.7149,-1.7124
8879.03,-139.4639,-72.7086,-1.7107,-1.7083
8910.19,-139.5856,-72.8729,-1.7160,-1.7136
8941.46,-139.7073,-73.0373,-1.7213,-1.7189
8972.83,-139.8289,-73.2019,-1.7265,-1.7242
9004.32,-139.9506,-73.3666,-1.7319,-1.7296
9035.92,-140.0723,-73.5314,-1.7372,-1.7350
9067.64,-140.1940,-73.6965,-1.7426,-1.7404
9099.46,-140.3157,-73.8616,-1.7479,-1.7458
9131.39,-140.4374,-74.0421,-1.7533,-1.7512
9163.44,-140.5591,-74.2642,-1.7587,-1.7567
9195.60,-140.6807,-74.4867,-1.7642,-1.7622
9227.87,-140.8024,-74.7094,-1.7696,-1.7677
9260.25,-140.9241,-74.9326,-1.7751,-1.7732
9292.75,-141.0458,-75.1561,-1.7806,-1.7787
9325.36,-141.1675,-75.3800,-1.7861,-1.7843
9358.09,-141.2892,-75.6042,-1.7916,-1.7899
9390.93,-141.4109,-75.8288,-1.7972,-1.7954
9423.89,-141.5325,-76.0537,-1.7925,-1.7908
9456.96,-141.6542,-76.2790,-1.7813,-1.7797
9490.15,-141.7759,-76.5047,-1.7701,-1.7685
9523.45,-141.8976,-76.7308,-1.7588,-1.7572
9556.87,-142.0193,-76.9572,-1.7474,-1.7459
9590.41,-142.1410,-77.1839,-1.7361,-1.7346
9624.07,-142.2627,-77.4111,-1.7247,-1.7233
9657.85,-142.3844,-77.6386,-1.7133,-1.7119
9691.74,-142.5061,-77.8342,-1.7018,-1.7004
