freq_Hz,on_axis,LW,ER,SP,DI,PIR
430.225,0.0000,-0.0304,-0.1917,-0.1528,0.1528,-0.0757
434.214,0.0000,-0.0309,-0.1949,-0.1554,0.1554,-0.0770
438.239,0.0000,-0.0314,-0.1982,-0.1580,0.1580,-0.0783
442.302,0.0000,-0.0319,-0.2016,-0.1607,0.1607,-0.0796
446.403,0.0000,-0.0325,-0.2050,-0.1634,0.1634,-0.0809
450.542,0.0000,-0.0330,-0.2084,-0.1661,0.1661,-0.0823
454.719,0.0000,-0.0336,-0.2119,-0.1689,0.1689,-0.0836
458.935,0.0000,-0.0341,-0.2155,-0.1717,0.1717,-0.0850
463.190,0.0000,-0.0347,-0.2191,-0.1746,0.1746,-0.0864
467.485,0.0000,-0.0353,-0.2228,-0.1775,0.1775,-0.0879
471.819,0.0000,-0.0359,-0.2266,-0.1805,0.1805,-0.0893
476.194,0.0000,-0.0365,-0.2304,-0.1835,0.1835,-0.0908
480.609,0.0000,-0.0371,-0.2342,-0.1866,0.1866,-0.0923
485.065,0.0000,-0.0377,-0.2382,-0.1897,0.1897,-0.0938
489.562,0.0000,-0.0383,-0.2422,-0.1929,0.1929,-0.0954
494.101,0.0000,-0.0390,-0.2462,-0.1961,0.1961,-0.0969
498.682,0.0000,-0.0396,-0.2503,-0.1993,0.1993,-0.0985
503.305,0.0000,-0.0403,-0.2545,-0.2026,0.2026,-0.1001
507.972,0.0000,-0.0409,-0.2587,-0.2060,0.2060,-0.1018
512.681,0.0000,-0.0416,-0.2630,-0.2094,0.2094,-0.1034
517.435,0.0000,-0.0423,-0.2674,-0.2128,0.2128,-0.1051
522.232,0.0000,-0.0430,-0.2718,-0.2163,0.2163,-0.1068
527.074,0.0000,-0.0437,-0.2762,-0.2199,0.2199,-0.1085
531.961,0.0000,-0.0444,-0.2808,-0.2235,0.2235,-0.1103
536.893,0.0000,-0.0451,-0.2854,-0.2271,0.2271,-0.1121
541.871,0.0000,-0.0459,-0.2900,-0.2308,0.2308,-0.1139
546.895,0.0000,-0.0466,-0.2948,-0.2345,0.2345,-0.1157
551.965,0.0000,-0.0474,-0.2995,-0.2383,0.2383,-0.1175
557.083,0.0000,-0.0481,-0.3044,-0.2421,0.2421,-0.1194
562.248,0.0000,-0.0489,-0.3093,-0.2460,0.2460,-0.1213
567.461,0.0000,-0.0497,-0.3142,-0.2499,0.2499,-0.1232
572.722,0.0000,-0.0505,-0.3192,-0.2539,0.2539,-0.1251
578.032,0.0000,-0.0513,-0.3243,-0.2579,0.2579,-0.1270
583.391,0.0000,-0.0521,-0.3294,-0.2620,0.2620,-0.1290
588.800,0.0000,-0.0529,-0.3346,-0.2660,0.2660,-0.1310
594.259,0.0000,-0.0537,-0.3398,-0.2702,0.2702,-0.1330
599.769,0.0000,-0.0545,-0.3451,-0.2744,0.2744,-0.1350
605.330,0.0000,-0.0554,-0.3505,-0.2786,0.2786,-0.1371
610.942,0.0000,-0.0562,-0.3559,-0.2828,0.2828,-0.1391
616.606,0.0000,-0.0571,-0.3613,-0.2871,0.2871,-0.1412
622.323,0.0000,-0.0579,-0.3668,-0.2914,0.2914,-0.1433
628.093,0.0000,-0.0588,-0.3723,-0.2958,0.2958,-0.1454
633.916,0.0000,-0.0597,-0.3779,-0.3002,0.3002,-0.1475
639.794,0.0000,-0.0606,-0.3835,-0.3046,0.3046,-0.1496
645.726,0.0000,-0.0615,-0.3891,-0.3091,0.3091,-0.1518
651.712,0.0000,-0.0624,-0.3948,-0.3136,0.3136,-0.1540
657.755,0.0000,-0.0633,-0.4006,-0.3181,0.3181,-0.1561
663.853,0.0000,-0.0642,-0.4063,-0.3226,0.3226,-0.1583
670.008,0.0000,-0.0651,-0.4121,-0.3272,0.3272,-0.1605
676.220,0.0000,-0.0660,-0.4179,-0.3318,0.3318,-0.1627
682.490,0.0000,-0.0669,-0.4237,-0.3364,0.3364,-0.1649
688.817,0.0000,-0.0678,-0.4296,-0.3410,0.3410,-0.1671
695.204,0.0000,-0.0688,-0.4355,-0.3456,0.3456,-0.1694
701.649,0.0000,-0.0697,-0.4414,-0.3503,0.3503,-0.1716
708.155,0.0000,-0.0706,-0.4473,-0.3549,0.3549,-0.1738
714.720,0.0000,-0.0716,-0.4532,-0.3595,0.3595,-0.1761
721.347,0.0000,-0.0725,-0.4591,-0.3642,0.3642,-0.1783
728.035,0.0000,-0.0734,-0.4650,-0.3688,0.3688,-0.1805
734.785,0.0000,-0.0744,-0.4709,-0.3735,0.3735,-0.1827
741.598,0.0000,-0.0753,-0.4768,-0.3781,0.3781,-0.1849
748.473,0.0000,-0.0762,-0.4826,-0.3827,0.3827,-0.1872
755.413,0.0000,-0.0771,-0.4885,-0.3873,0.3873,-0.1894
762.417,0.0000,-0.0781,-0.4943,-0.3919,0.3919,-0.1915
769.485,0.0000,-0.0790,-0.5001,-0.3965,0.3965,-0.1937
776.620,0.0000,-0.0799,-0.5059,-0.4010,0.4010,-0.1959
783.820,0.0000,-0.0808,-0.5116,-0.4055,0.4055,-0.1980
791.087,0.0000,-0.0817,-0.5173,-0.4100,0.4100,-0.2002
798.422,0.0000,-0.0826,-0.5229,-0.4144,0.4144,-0.2023
805.824,0.0000,-0.0835,-0.5285,-0.4188,0.4188,-0.2043
813.296,0.0000,-0.0844,-0.5340,-0.4231,0.4231,-0.2064
820.836,0.0000,-0.0852,-0.5395,-0.4274,0.4274,-0.2084
828.446,0.0000,-0.0861,-0.5449,-0.4316,0.4316,-0.2105
836.127,0.0000,-0.0870,-0.5502,-0.4358,0.4358,-0.2124
843.880,0.0000,-0.0878,-0.5554,-0.4399,0.4399,-0.2144
851.704,0.0000,-0.0886,-0.5605,-0.4439,0.4439,-0.2163
859.600,0.0000,-0.0894,-0.5655,-0.4479,0.4479,-0.2182
867.570,0.0000,-0.0902,-0.5705,-0.4517,0.4517,-0.2200
875.614,0.0000,-0.0910,-0.5753,-0.4555,0.4555,-0.2218
883.732,0.0000,-0.0918,-0.5800,-0.4592,0.4592,-0.2235
891.926,0.0000,-0.0925,-0.5846,-0.4628,0.4628,-0.2252
900.195,0.0000,-0.0932,-0.5890,-0.4663,0.4663,-0.2269
908.541,0.0000,-0.0939,-0.5934,-0.4697,0.4697,-0.2285
916.965,0.0000,-0.0946,-0.5976,-0.4730,0.4730,-0.2301
925.466,0.0000,-0.0953,-0.6016,-0.4762,0.4762,-0.2316
934.047,0.0000,-0.0959,-0.6055,-0.4793,0.4793,-0.2330
942.707,0.0000,-0.0966,-0.6093,-0.4822,0.4822,-0.2344
951.447,0.0000,-0.0972,-0.6129,-0.4851,0.4851,-0.2358
960.269,0.0000,-0.0977,-0.6163,-0.4878,0.4878,-0.2370
969.172,0.0000,-0.0983,-0.6196,-0.4904,0.4904,-0.2383
978.157,0.0000,-0.0988,-0.6227,-0.4928,0.4928,-0.2394
987.226,0.0000,-0.0993,-0.6257,-0.4951,0.4951,-0.2405
996.380,0.0000,-0.0998,-0.6284,-0.4973,0.4973,-0.2415
1005.617,0.0000,-0.1002,-0.6310,-0.4993,0.4993,-0.2425
1014.941,0.0000,-0.1007,-0.6334,-0.5012,0.5012,-0.2434
1024.351,0.0000,-0.1011,-0.6356,-0.5030,0.5030,-0.2442
1033.848,0.0000,-0.1014,-0.6377,-0.5046,0.5046,-0.2450
