freq_Hz,mk2_on_axis,mk2_LW,mk2_ER,mk2_SP,mk2_DI,mk2_PIR,mk3_on_axis,mk3_LW,mk3_ER,mk3_SP,mk3_DI,mk3_PIR
271.203,0.0000,-0.0140,-0.0879,-0.0702,0.0702,-0.0350,0.0000,-0.0139,-0.0878,-0.0701,0.0701,-0.0349
273.717,0.0000,-0.0141,-0.0891,-0.0712,0.0712,-0.0354,0.0000,-0.0141,-0.0890,-0.0711,0.0711,-0.0354
276.255,0.0000,-0.0143,-0.0904,-0.0722,0.0722,-0.0359,0.0000,-0.0143,-0.0902,-0.0721,0.0721,-0.0359
278.817,0.0000,-0.0145,-0.0916,-0.0732,0.0732,-0.0364,0.0000,-0.0145,-0.0915,-0.0731,0.0731,-0.0364
281.402,0.0000,-0.0147,-0.0929,-0.0742,0.0742,-0.0369,0.0000,-0.0147,-0.0928,-0.0741,0.0741,-0.0369
284.011,0.0000,-0.0150,-0.0942,-0.0753,0.0753,-0.0375,0.0000,-0.0149,-0.0941,-0.0752,0.0752,-0.0374
286.644,0.0000,-0.0152,-0.0956,-0.0763,0.0763,-0.0380,0.0000,-0.0151,-0.0954,-0.0762,0.0762,-0.0379
289.301,0.0000,-0.0154,-0.0970,-0.0774,0.0774,-0.0386,0.0000,-0.0154,-0.0968,-0.0773,0.0773,-0.0385
291.984,0.0000,-0.0156,-0.0984,-0.0786,0.0786,-0.0391,0.0000,-0.0156,-0.0982,-0.0784,0.0784,-0.0390
294.691,0.0000,-0.0158,-0.0998,-0.0797,0.0797,-0.0397,0.0000,-0.0158,-0.0997,-0.0796,0.0796,-0.0396
297.423,0.0000,-0.0161,-0.1013,-0.0809,0.0809,-0.0403,0.0000,-0.0160,-0.1011,-0.0808,0.0808,-0.0402
300.181,0.0000,-0.0163,-0.1028,-0.0821,0.0821,-0.0409,0.0000,-0.0163,-0.1026,-0.0819,0.0819,-0.0408
302.964,0.0000,-0.0166,-0.1044,-0.0833,0.0833,-0.0415,0.0000,-0.0165,-0.1041,-0.0832,0.0832,-0.0414
305.773,0.0000,-0.0168,-0.1059,-0.0846,0.0846,-0.0421,0.0000,-0.0168,-0.1057,-0.0844,0.0844,-0.0420
308.608,0.0000,-0.0171,-0.1075,-0.0859,0.0859,-0.0427,0.0000,-0.0170,-0.1073,-0.0857,0.0857,-0.0426
311.469,0.0000,-0.0173,-0.1092,-0.0872,0.0872,-0.0434,0.0000,-0.0173,-0.1089,-0.0870,0.0870,-0.0433
314.357,0.0000,-0.0176,-0.1109,-0.0885,0.0885,-0.0440,0.0000,-0.0175,-0.1106,-0.0883,0.0883,-0.0439
317.271,0.0000,-0.0179,-0.1126,-0.0899,0.0899,-0.0447,0.0000,-0.0178,-0.1123,-0.0897,0.0897,-0.0446
320.213,0.0000,-0.0181,-0.1143,-0.0913,0.0913,-0.0454,0.0000,-0.0181,-0.1140,-0.0910,0.0910,-0.0453
323.182,0.0000,-0.0184,-0.1161,-0.0927,0.0927,-0.0461,0.0000,-0.0184,-0.1158,-0.0924,0.0924,-0.0460
326.178,0.0000,-0.0187,-0.1179,-0.0941,0.0941,-0.0468,0.0000,-0.0187,-0.1176,-0.0939,0.0939,-0.0467
329.202,0.0000,-0.0190,-0.1198,-0.0956,0.0956,-0.0476,0.0000,-0.0189,-0.1195,-0.0954,0.0954,-0.0474
332.255,0.0000,-0.0193,-0.1217,-0.0971,0.0971,-0.0483,0.0000,-0.0192,-0.1213,-0.0969,0.0969,-0.0482
335.335,0.0000,-0.0196,-0.1236,-0.0987,0.0987,-0.0491,0.0000,-0.0195,-0.1233,-0.0984,0.0984,-0.0489
