freq_hz,woofer_raw_db,woofer_sealed_db,woofer_pair_baffle_db,woofer_filtered_db,mid_raw_db,mid_baffle_db,mid_filtered_db,tweeter_raw_db,tweeter_wg_db,tweeter_filtered_db,tweeter_final_db,system_sum_db,coherent_sum_db
1924.39,90.7400,90.7399,94.1703,5.5138,89.6282,90.0586,73.6445,95.0740,95.2283,94.2356,85.4831,85.7586,87.4629
1980.82,90.5224,90.5223,93.9304,4.2697,89.8284,90.2365,72.9628,95.2002,95.3463,94.4758,85.7233,85.9475,87.5229
2038.91,89.8751,89.8751,93.2619,2.5971,89.8832,90.2700,72.1229,95.3496,95.4879,94.7269,85.9744,86.1498,87.5800
2098.70,89.4971,89.4971,92.8637,1.1947,89.8009,90.1674,71.1344,95.4875,95.6184,94.9554,86.2029,86.3360,87.6147
2160.24,89.6714,89.6714,93.0187,0.3456,89.4374,89.7847,69.8542,95.6021,95.7259,95.1503,86.3978,86.4930,87.6036
2223.59,89.9554,89.9554,93.2844,-0.3929,89.1630,89.4920,68.6534,95.7039,95.8210,95.3233,86.5708,86.6404,87.6103
2288.80,90.4732,90.4732,93.7848,-0.8966,89.0783,89.3900,67.6338,95.7785,95.8894,95.4608,86.7083,86.7617,87.6248
2355.92,90.9043,90.9043,94.1994,-1.4862,88.9581,89.2532,66.5706,95.6969,95.8017,95.4344,86.6819,86.7240,87.5000
2425.00,91.1433,91.1433,94.4227,-2.2671,88.7589,89.0383,65.4215,95.2687,95.3678,95.0547,86.3022,86.3375,87.0539
2496.11,91.2196,91.2196,94.4841,-3.2098,88.6260,88.8906,64.3323,94.9866,95.0803,94.8151,86.0626,86.0917,86.7469
2569.31,90.9209,90.9209,94.1712,-4.5269,88.6459,88.8963,63.3902,95.0413,95.1300,94.9069,86.1544,86.1773,86.7645
2644.65,90.7027,90.7027,93.9396,-5.7627,88.6790,88.9160,62.4562,95.1444,95.2282,95.0422,86.2897,86.3076,86.8313
