parameter,value,unit
Impedance,4,ohm
Re,3.8,ohm
Le,0.8,mH
Fs,48,Hz
Qms,4.33,
Qes,1.13,
Qts,0.89,
Mms,33.2,g
Cms,0.33,mm/N
Sd,216.8,cm²
Vd,130,cm³
BL,5.8,Tm
Vas,22,L
Xmax,6,mm
VC_Diameter,38,mm
SPL,89,dB@2.83V/1m
RMS_Power,80,W
Freq_Range,40-800,Hz
