parameter,value,unit
Type,Horn dome tweeter,
Dome,25,mm
Impedance,6,ohm
Re,4.7,ohm
Fs,1030,Hz
Sensitivity,95.2,dB@2.83V/1m
Le,0.05,mH
Sd,5.7,cm²
Xmax,0.2,mm
Qms,2.1,
Qes,1.2,
Qts,0.70,
Bl,3.3,Tm
Mms,0.4,g
Power,100,W
Faceplate_OD,104.0,mm
Mounting_BCD,95.0,mm
Mounting_hole_d,4.0,mm
Mounting_holes,4,
Faceplate_thickness,4,mm
Total_depth,45.1,mm
Baffle_cutout,72,mm
Horn_exit_d,33.0,mm
Ferrofluid,Yes,
