freq_hz,spl_db,spl_offaxis1_db,spl_offaxis2_db
20.00,,,
21.20,,,
22.46,,,
23.80,,,
25.23,,,
26.74,,,
28.33,,,
30.03,,,
31.82,,,
33.72,,,
35.74,,,
37.87,,,
40.14,,,
42.54,,,
45.08,,,
47.77,,,
50.63,,,
53.65,,,
56.86,,,
60.26,,,
63.86,,,
67.68,,,
71.72,,,
76.01,,,
80.55,,,
85.37,,,
90.47,,,
95.87,,,
101.60,86.10,,
107.68,88.25,,
114.11,86.55,,
120.93,88.45,,
128.16,89.32,,
135.82,89.70,,
143.94,89.77,,
152.54,89.70,,
161.66,89.70,,
171.32,89.77,,
181.56,89.92,,
192.41,90.30,,
203.91,90.30,,
216.09,89.99,90.07,89.97
229.01,90.04,90.08,90.15
242.70,90.30,90.29,90.15
257.20,90.22,90.38,90.36
272.57,90.40,90.25,90.44
288.86,90.68,90.34,90.45
306.13,90.45,90.53,90.33
324.42,90.60,90.58,90.30
343.81,90.91,90.75,90.61
364.36,90.91,90.76,90.82
386.14,90.83,90.69,90.45
409.22,90.76,90.61,90.30
433.68,90.68,90.45,90.36
459.59,90.45,90.23,90.18
487.06,90.39,90.24,90.17
516.17,90.53,90.28,90.38
547.02,90.57,90.38,90.23
579.72,90.66,90.45,90.25
614.36,90.39,90.38,90.23
651.08,89.92,90.23,90.08
689.99,90.23,90.08,89.92
731.23,90.45,90.26,89.92
774.94,89.99,90.10,89.81
821.25,89.92,90.06,89.83
870.33,90.38,90.23,90.15
922.35,90.45,90.29,90.07
977.47,90.15,90.19,89.70
1035.89,90.26,90.41,89.85
1097.81,89.98,89.60,89.14
1163.42,89.85,89.67,89.08
1232.95,89.24,89.01,88.33
1306.64,89.64,89.18,88.59
1384.73,89.37,89.06,87.72
1467.49,89.24,88.67,87.92
1555.20,88.94,88.48,87.31
1648.15,88.93,88.64,87.42
1746.65,89.10,88.40,87.49
1851.04,89.26,88.58,87.10
1961.67,89.81,88.71,87.05
2078.91,89.92,88.79,86.92
2203.16,89.19,88.50,86.30
2334.84,89.02,88.56,85.23
2474.38,88.62,87.64,84.91
2622.27,88.66,87.50,84.62
2778.99,88.79,87.16,82.98
2945.08,88.79,86.97,82.29
3121.10,88.34,86.97,81.90
3307.63,88.03,86.28,80.59
3505.32,88.50,85.89,79.94
3714.82,88.79,84.86,76.54
3936.84,88.59,84.27,73.37
4172.13,88.79,83.94,72.51
4421.48,88.71,84.01,73.56
4685.74,89.02,83.85,73.46
4965.79,89.67,84.34,71.36
5262.57,90.91,84.13,70.64
5577.10,92.43,84.67,75.20
5910.42,92.95,85.75,78.75
6263.66,92.57,85.37,78.40
6638.02,91.61,85.25,76.29
7034.75,88.85,82.16,69.24
7455.19,84.22,74.41,58.37
7900.76,86.00,74.89,62.68
8372.95,85.53,75.46,53.81
8873.37,85.44,68.44,63.06
9403.70,83.66,55.53,63.69
9965.73,82.95,50.30,63.22
10561.34,,,
11192.55,,,
11861.49,,,
12570.41,,,
13321.69,,,
14117.88,,,
14961.65,,,
15855.85,,,
16803.50,,,
17807.78,,,
18872.09,,,
20000.00,,,
